2134,HEPATITIS B IMMUNOGLOBULIN,J06BB04,Globulin miễn dịch (Dự phòng Viêm gan B).,Thuốc tiêm bắp/tĩnh mạch.,HBIG,Quá mẫn.,Không đáng kể.
2135,CYTOMEGALOVIRUS IMMUNOGLOBULIN,J06BB09,Globulin miễn dịch (Dự phòng CMV).,Thuốc tiêm tĩnh mạch.,CMV-IGIV,Quá mẫn.,Không đáng kể.
2136,RESPIRATORY SYNCYTIAL VIRUS IMMUNOGLOBULIN (RSV-IVIG),J06BB08,Globulin miễn dịch (Dự phòng RSV - Đã ngưng sử dụng).,Thuốc tiêm tĩnh mạch.,"RespiGam, RSV-IVIG",Suy tim sung huyết.,Vắc xin sống (giảm hiệu quả).
2137,PALIVIZUMAB,J06BB16,Kháng thể đơn dòng (Dự phòng RSV).,Thuốc tiêm bắp.,"Synagis, Palivizumab",Quá mẫn.,Không đáng kể.
2138,VẮC XIN VIÊM GAN B (Tái tổ hợp),J07BB01,Vắc xin.,Thuốc tiêm bắp.,"Engerix-B, Recombivax HB",Phản ứng quá mẫn nặng với liều trước; Dị ứng nấm men nặng.,Ức chế miễn dịch (giảm hiệu quả).
2139,VẮC XIN CÚM (Bất hoạt),J07BB02,Vắc xin.,Thuốc tiêm bắp.,"Fluzone, Fluvirin",Tiền sử hội chứng Guillain-Barré; Dị ứng trứng nặng.,Ức chế miễn dịch.
2140,VẮC XIN CÚM (Sống giảm độc lực),J07BB03,Vắc xin.,Thuốc xịt mũi.,FluMist,Có thai; Bệnh mạn tính; Dùng Aspirin ở trẻ em.,Thuốc chống virus cúm (giảm hiệu quả).
2141,VẮC XIN PHẾ CẦU (Polysaccharide),J07AL01,Vắc xin.,Thuốc tiêm bắp/dưới da.,Pneumovax 23,Tương tự Vắc xin (Phản ứng nặng).,Ức chế miễn dịch (giảm hiệu quả).
2142,VẮC XIN PHẾ CẦU (Cộng hợp),J07AL02,Vắc xin.,Thuốc tiêm bắp.,Prevnar 13,Tương tự Vắc xin (Phản ứng nặng).,Ức chế miễn dịch (giảm hiệu quả).
2143,VẮC XIN MENINGOCOCCAL (Cộng hợp),J07AH08,Vắc xin.,Thuốc tiêm bắp.,"Menactra, Menveo",Tương tự Vắc xin (Phản ứng nặng).,Ức chế miễn dịch (giảm hiệu quả).
2144,VẮC XIN HPV (Human Papillomavirus),J07BM01,Vắc xin.,Thuốc tiêm bắp.,"Gardasil, Cervarix",Quá mẫn; Có thai.,Ức chế miễn dịch.
2145,VẮC XIN VẮC XIN ROTAVIRUS (Sống),J07BH01,Vắc xin.,Dung dịch uống.,"Rotarix, RotaTeq",Tiền sử lồng ruột; Suy giảm miễn dịch nặng.,Không đáng kể.
2146,VẮC XIN THỦY ĐẬU (Sống giảm độc lực),J07BK01,Vắc xin.,Thuốc tiêm dưới da.,Varivax,Có thai; Suy giảm miễn dịch.,Thuốc kháng virus (giảm hiệu quả); Globulin miễn dịch.
2147,VẮC XIN ZONA (Tái tổ hợp),J07BK03,Vắc xin.,Thuốc tiêm bắp.,Shingrix,Tương tự Vắc xin (Phản ứng nặng).,Ức chế miễn dịch.
2148,"VẮC XIN SỞI, QUAI BỊ, RUBELLA (MMR - Sống)",J07BD52,Vắc xin.,Thuốc tiêm dưới da.,M-M-R II,Tương tự Vắc xin sống.,Globulin miễn dịch (trì hoãn tiêm 3-11 tháng).
2149,"VẮC XIN SỞI, QUAI BỊ, RUBELLA, THỦY ĐẬU (MMRV - Sống)",J07BD54,Vắc xin.,Thuốc tiêm dưới da.,ProQuad,Tương tự MMR.,Tương tự MMR.
2150,VẮC XIN DẠI (Bất hoạt),J07BG01,Vắc xin.,Thuốc tiêm bắp/dưới da.,"Rabipur, RabAvert",Tương tự Vắc xin (Phản ứng nặng).,Ức chế miễn dịch.
STT,Tên chung quốc tế,Mã ATC,Loại thuốc,Dạng thuốc và hàm lượng,Tên (Chế phẩm/Biệt dược),Chống chỉ định,Tương tác thuốc
2151,VẮC XIN THƯƠNG HÀN (Typhoid - Polysaccharide),J07AP03,Vắc xin.,Thuốc tiêm bắp/dưới da.,"Typhim Vi, Typherix",Tương tự Vắc xin (Phản ứng nặng).,Ức chế miễn dịch (giảm hiệu quả).
2152,"VẮC XIN BẠCH HẦU, UỐN VÁN, HO GÀ (DTP)",J07AJ51,Vắc xin (Hỗn hợp).,Thuốc tiêm bắp.,"DTaP, Tdap",Bệnh não cấp trong vòng 7 ngày sau liều DTaP trước.,Tương tự Vắc xin.
2153,VẮC XIN HIB (Haemophilus influenzae type B),J07AG01,Vắc xin.,Thuốc tiêm bắp.,"ActHIB, PedvaxHIB",Tương tự Vắc xin.,Tương tự Vắc xin.
2154,VẮC XIN VIÊM GAN A (Bất hoạt),J07BH02,Vắc xin.,Thuốc tiêm bắp.,"Havrix, Vaqta",Quá mẫn với Alum.,Tương tự Vắc xin.
2155,VẮC XIN VIÊM NÃO NHẬT BẢN,J07BA02,Vắc xin.,Thuốc tiêm dưới da.,"JE-Vax, Ixiaro",Tương tự Vắc xin.,Tương tự Vắc xin.
2156,VẮC XIN LAO (BCG),J07AH02,Vắc xin (Sống giảm độc lực).,Thuốc tiêm trong da.,BCG,Suy giảm miễn dịch; AIDS.,Ức chế miễn dịch mạnh.
2157,"VẮC XIN BẠCH HẦU, UỐN VÁN, HO GÀ, BẠI LIỆT, HIB, VIÊM GAN B (6 trong 1)",J07CA09,Vắc xin (Hỗn hợp).,Thuốc tiêm bắp.,"Hexaxim, Infanrix Hexa",Tương tự DTaP.,Tương tự Vắc xin.
2158,VẮC XIN BẠI LIỆT (Bất hoạt - IPV),J07BF03,Vắc xin.,Thuốc tiêm bắp/dưới da.,IPOL,"Quá mẫn với Neomycin, Streptomycin.",Tương tự Vắc xin.
2159,VẮC XIN BẠI LIỆT (Uống - OPV),J07BF01,Vắc xin (Sống giảm độc lực).,Thuốc uống.,OPV,Suy giảm miễn dịch (Bệnh nhân và người tiếp xúc).,Tương tự Vắc xin sống.
2160,ALDESLEUKIN (IL-2),L03AC01,"Yếu tố miễn dịch (Điều trị Ung thư thận, U hắc tố).",Bột pha tiêm.,"Proleukin, Aldesleukin",Tiền sử rối loạn tim phổi nghiêm trọng; Suy tạng nặng.,"Thuốc độc thận, độc gan."
2161,OPRELVEKIN (IL-11),L03AX05,Yếu tố kích thích tạo máu (Tăng tiểu cầu).,Thuốc tiêm dưới da.,"Neumega, Oprelvekin",Quá mẫn.,Không đáng kể.
2162,THROMBOPOIETIN (TPO),B03AB11,Yếu tố kích thích tạo máu (Giúp tăng tiểu cầu).,Thuốc tiêm (Chỉ định đặc biệt).,TPO,Không áp dụng trong thực tế lâm sàng.,Không đáng kể.
2163,ROMIPLOSTIM,B03AX07,Tác nhân mô phỏng TPO (Điều trị Giảm tiểu cầu miễn dịch - ITP).,Bột pha tiêm.,"Nplate, Romiplostim",Quá mẫn.,Không đáng kể.
2164,ELTROMBOPAG,B03AX05,Tác nhân mô phỏng TPO (Điều trị ITP).,Viên nén 12.5 mg - 75 mg.,"Promacta, Eltrombopag",Suy gan nặng.,"Thuốc kháng acid, Calci, Sắt, Magie, Kẽm (giảm hấp thu)."
2165,ERYTHROPOIETIN BETA,B03XA01,Hormone (Tương tự Epoetin Alfa).,Thuốc tiêm dưới da/tĩnh mạch.,"NeoRecormon, Epoetin Beta",Tương tự Epoetin Alfa (Lô 31).,Tương tự Epoetin Alfa (Lô 31).
2166,SARGRAMOSTIM,L03AA03,GM-CSF (Lô 31).,Tương tự Sargramostim (Lô 31).,Tương tự Sargramostim (Lô 31).,Tương tự Sargramostim (Lô 31).,Tương tự Sargramostim (Lô 31).
2167,IMIGLUCERASE,A16AB02,Enzyme thay thế (Điều trị Bệnh Gaucher).,Bột pha tiêm.,"Cerezyme, Imiglucerase",Quá mẫn.,Không đáng kể.
2168,VELAGLUCERASE ALFA,A16AB10,Enzyme thay thế (Điều trị Bệnh Gaucher).,Bột pha tiêm.,"Vpriv, Velaglucerase",Quá mẫn.,Không đáng kể.
2169,ALGLUCERASE,A16AB01,Enzyme thay thế (Điều trị Bệnh Gaucher - Đã ngưng sử dụng).,Thuốc tiêm.,"Ceredase, Alglucerase",Quá mẫn.,Không đáng kể.
2170,LA RONIDASE,A16AB03,Enzyme thay thế (Điều trị Hội chứng Hurler).,Thuốc tiêm truyền.,"Aldurazyme, Laronidase",Quá mẫn.,Không đáng kể.
2171,IDURSULFASE,A16AB05,Enzyme thay thế (Điều trị Hội chứng Hunter).,Thuốc tiêm truyền.,"Elaprase, Idursulfase",Quá mẫn.,Không đáng kể.
2172,GA LSULFASE,A16AB04,Enzyme thay thế (Điều trị Hội chứng Maroteaux-Lamy).,Thuốc tiêm truyền.,"Naglazyme, Galsulfase",Quá mẫn.,Không đáng kể.
2173,ASPARAGINASE (E. coli - dạng thường),L01XX02,Enzyme (Lô 30).,Tương tự Asparaginase (Lô 30).,Tương tự Asparaginase (Lô 30).,Tương tự Asparaginase (Lô 30).,Tương tự Asparaginase (Lô 30).
2174,PEGASPARGASE,L01XX02,Enzyme (Lô 30).,Tương tự Pegaspargase (Lô 30).,Tương tự Pegaspargase (Lô 30).,Tương tự Pegaspargase (Lô 30).,Tương tự Pegaspargase (Lô 30).
2175,TRYPSIN/CHYMOTRYPSIN,B06AA04,"Enzyme (Điều trị Phù nề, Viêm).",Viên nén 5 mg.,"Alpha Choay, Alphatrypsine","Rối loạn đông máu, Loét dạ dày.",Thuốc chống đông.
2176,PANCRELIPASE,A09AA02,Enzyme tiêu hóa (Điều trị Suy tuyến tụy ngoại tiết).,"Viên nang, Bột.","Creon, Pancrease",Viêm tụy cấp; Quá mẫn với protein Heo.,"Thuốc kháng acid, Sắt (giảm hấp thu)."
2177,ALTEPLASE (rt-PA),B01AD02,"Thuốc tiêu sợi huyết (Điều trị Nhồi máu cơ tim, Đột quỵ).",Bột pha tiêm.,"Activase, Alteplase",Xuất huyết nội sọ; Tiền sử đột quỵ xuất huyết; Huyết áp cao không kiểm soát.,"Thuốc chống đông, Thuốc chống tiểu cầu (tăng nguy cơ chảy máu)."
2178,STREPTOKINASE,B01AD01,"Thuốc tiêu sợi huyết (Điều trị Nhồi máu cơ tim, Thuyên tắc phổi).",Bột pha tiêm.,"Streptase, Streptokinase",Tương tự Alteplase; Tiền sử phản ứng dị ứng nặng.,Tương tự Alteplase.
2179,TENECTEPLASE,B01AD11,Thuốc tiêu sợi huyết (Tác dụng kéo dài).,Bột pha tiêm.,"TNKase, Tenecteplase",Tương tự Alteplase.,Tương tự Alteplase.
2180,UROKINASE,B01AD04,Thuốc tiêu sợi huyết (Ít dùng).,Bột pha tiêm.,"Abbokinase, Urokinase",Tương tự Alteplase.,Tương tự Alteplase.
2181,AMINOCAPROIC ACID,B02AA01,Thuốc chống tiêu sợi huyết (Điều trị Chảy máu).,"Viên nén, Thuốc tiêm.","Amicar, Aminocaproic Acid",Đông máu nội mạch rải rác (DIC) đang hoạt động.,Tương tự Thuốc tiêu sợi huyết.
2182,TRANEXAMIC ACID,B02AA02,Thuốc chống tiêu sợi huyết (Điều trị Chảy máu).,"Viên nén 500 mg, Thuốc tiêm.","Cyklokapron, Tranexamic Acid",Huyết khối đang hoạt động.,"Thuốc chống đông, Thuốc ngừa thai (tăng nguy cơ huyết khối)."
2183,APROTININ,B02AB01,Thuốc ức chế Protease (Điều trị Chảy máu trong phẫu thuật tim).,Thuốc tiêm truyền.,"Trasylol, Aprotinin",Quá mẫn; Tiền sử sử dụng trong 7 ngày gần đây.,Tương tự Thuốc tiêu sợi huyết.
2184,FACTOR VIII (Yếu tố VIII tái tổ hợp),B02BD02,Yếu tố đông máu (Điều trị Bệnh Hemophilia A).,Bột pha tiêm.,"Advate, Kogenate, FVIII",Quá mẫn (Protein chuột đồng).,Không đáng kể.
2185,FACTOR IX (Yếu tố IX tái tổ hợp),B02BD04,Yếu tố đông máu (Điều trị Bệnh Hemophilia B).,Bột pha tiêm.,"BeneFIX, Factor IX",Quá mẫn.,Không đáng kể.
2186,ANTI-INHIBITOR COAGULANT COMPLEX (APCC),B02BD03,Yếu tố đông máu (Điều trị Hemophilia có chất ức chế).,Bột pha tiêm.,"Feiba, APCC",DIC đang hoạt động; Huyết khối.,Không đáng kể.
2187,DESMOPRESSIN (Điều trị Hemophilia),H01BA02,Hormone (Tăng yếu tố VIII).,Tương tự Desmopressin (Lô 28).,Tương tự Desmopressin (Lô 28).,Tương tự Desmopressin (Lô 28).,Tương tự Desmopressin (Lô 28).
2188,VITAMIN K (Phytomenadione) (Tiêm),B02BA01,Vitamin (Điều trị Thiếu vitamin K).,Thuốc tiêm tĩnh mạch/bắp.,Tương tự Vitamin K (Lô 26).,Tương tự Vitamin K (Lô 26).,Tương tự Vitamin K (Lô 26).
2189,PROTAMINE SULFATE,V03AB14,Chất đối kháng Heparin.,Thuốc tiêm tĩnh mạch.,Protamine Sulfate,Quá mẫn; Dị ứng cá.,Kháng sinh Cephalosporin (nguy cơ chảy máu).
2190,IDARUCZIMAB,V03AB38,Chất đối kháng Dabigatran.,Thuốc tiêm truyền.,"Praxbind, Idarucizumab",Quá mẫn.,Không đáng kể.
2191,ANDEXANET ALFA,V03AB39,"Chất đối kháng Yếu tố Xa (Apixaban, Rivaroxaban).",Thuốc tiêm truyền.,"Andexxa, Andexanet Alfa",Quá mẫn.,Không đáng kể.
2192,PHYTONADIONE (Điều trị Quá liều Warfarin),B02BA01,Vitamin K (Lô 26).,Tương tự Vitamin K (Lô 26).,Tương tự Vitamin K (Lô 26).,Tương tự Vitamin K (Lô 26).,Tương tự Vitamin K (Lô 26).
2193,SODIUM THIOSULFATE (Giải độc Cisplatin/Xyanua),V03AB06,Thuốc giải độc.,Thuốc tiêm tĩnh mạch.,Sodium Thiosulfate,Quá mẫn.,Không đáng kể.
2194,DEFEROXAMINE,V03AC01,Thuốc tạo phức (Điều trị Quá tải Sắt).,Bột pha tiêm.,"Desferal, Deferoxamine",Bệnh thận nặng.,Prochlorperazine (mất ý thức tạm thời); Vitamin C.
2195,DEFERASIROX,V03AC03,Thuốc tạo phức (Điều trị Quá tải Sắt).,"Viên nén phân tán 125 mg, 250 mg, 500 mg.","Exjade, Deferasirox",Suy thận nặng; Hội chứng loạn sản tủy nguy cơ cao.,Thuốc cảm ứng UGT (Rifampicin); Thuốc kháng acid chứa nhôm.
2196,DEFERIPRONE,V03AC02,Thuốc tạo phức (Điều trị Quá tải Sắt).,Viên nén 500 mg.,"Ferriprox, Deferiprone",Tiền sử mất bạch cầu hạt.,Thuốc ức chế tủy.
2197,EDETATE CALCIUM DISODIUM (EDTA),V03AB11,Thuốc tạo phức (Điều trị Nhiễm độc Chì).,Thuốc tiêm tĩnh mạch.,Calcium EDTA,Bệnh thận nặng; Bệnh não chì cấp.,Không đáng kể.
2198,DIMERCAPROL (BAL),V03AB09,"Thuốc tạo phức (Điều trị Nhiễm độc Asen, Vàng, Thủy ngân).",Thuốc tiêm bắp.,"BAL in Oil, Dimercaprol",Suy gan nặng (trừ khi do Asen); Thiếu men G6PD.,Sắt (tạo phức độc).
2199,SUCCIMER (DMSA),V03AB16,"Thuốc tạo phức (Điều trị Nhiễm độc Chì, Thủy ngân).",Viên nang.,"Chemet, Succimer",Quá mẫn.,Không đáng kể.
2200,PRALIDOXIME (2-PAM),V03AB04,Thuốc giải độc (Giải độc Chất ức chế Acetylcholinesterase).,Thuốc tiêm.,"Protopam, Pralidoxime",Nhiễm độc Carbaryl.,"Aminophylline, Morphine, Phenothiazin."
2201,ATROPINE SULFATE (Giải độc),A03BA01,Thuốc kháng cholinergic (Giải độc Chất ức chế Acetylcholinesterase).,Tương tự Atropine (Lô 28).,Tương tự Atropine (Lô 28).,Tương tự Atropine (Lô 28).,Tương tự Atropine (Lô 28).
2202,NALOXONE (Giải độc Opioid),V03AB15,Thuốc đối kháng Opioid.,Tương tự Naloxone (Lô 28).,Tương tự Naloxone (Lô 28).,Tương tự Naloxone (Lô 28).,Tương tự Naloxone (Lô 28).
2203,FLUMAZENIL (Giải độc Benzodiazepine),V03AB25,Thuốc đối kháng Benzodiazepine.,Thuốc tiêm tĩnh mạch.,"Romazicon, Flumazenil",Tiền sử co giật; Dùng Benzodiazepine để điều trị tình trạng đe dọa tính mạng.,Thuốc chống trầm cảm (nguy cơ co giật).
2204,DIGOXIN IMMUNE FAB (Digibind),V03AB24,Kháng thể (Giải độc Digoxin).,Bột pha tiêm.,"Digibind, DigiFab",Quá mẫn với protein Cừu.,Không đáng kể (Digoxin bị bất hoạt).
2205,ETHANOL (Giải độc Methanol/Ethylene Glycol),V03AB18,Thuốc giải độc (Cũ).,Dung dịch tiêm truyền.,Ethanol,Quá mẫn.,Không đáng kể.
2206,FOMEPIZOLE,V03AB34,Thuốc giải độc (Ức chế Alcohol Dehydrogenase).,Thuốc tiêm truyền.,"Antizol, Fomepizole",Quá mẫn.,Ethanol (giảm tốc độ chuyển hóa Fomepizole).
2207,METHYLENE BLUE,V03AB17,Thuốc giải độc (Điều trị Methemoglobinemia).,Thuốc tiêm tĩnh mạch.,Methylene Blue,Thiếu men G6PD (nguy cơ thiếu máu tán huyết).,Thuốc ức chế Serotonin (nguy cơ hội chứng Serotonin).
2208,CYANIDE ANTIDOTE KIT,V03AB26,Thuốc giải độc (Điều trị Nhiễm độc Xyanua).,"Kit tiêm (Sodium Nitrite, Sodium Thiosulfate).",Cyanide Antidote Kit,Tương tự Sodium Thiosulfate.,Không đáng kể.
2209,HYDROXOCOBALAMIN,V03AB33,Thuốc giải độc (Điều trị Nhiễm độc Xyanua).,Thuốc tiêm truyền.,"Cyanokit, Hydroxocobalamin",Quá mẫn.,Tương tác với chất hấp thụ ánh sáng.
2210,DEXRAZOXANE,V03AE01,Thuốc bảo vệ tim (Giảm độc tính tim do Doxorubicin).,Bột pha tiêm.,"Zinecard, Dexrazoxane",Dùng đồng thời với phác đồ hóa trị không có Anthracycline.,Không đáng kể.
2211,MESNA,V03AF01,Thuốc bảo vệ niệu đạo (Giảm độc tính bàng quang do Cyclophosphamide).,"Thuốc tiêm tĩnh mạch, Viên nén uống.","Mesnex, Mesna",Quá mẫn.,Không đáng kể.
2212,SODIUM PHOSPHATE (Bù Phosphat),A12AA01,Chất điện giải (Điều trị Hạ Phosphat máu).,Dung dịch tiêm truyền.,Sodium Phosphate,"Tăng Phosphat máu, Hạ Calci máu, Suy thận nặng.","Calci, Kali (ảnh hưởng cân bằng điện giải)."
2213,POTASSIUM PHOSPHATE,A12AA02,Chất điện giải (Bù Phosphat/Kali).,Dung dịch tiêm truyền.,Potassium Phosphate,"Tăng Kali máu, Tăng Phosphat máu.",Tương tự Sodium Phosphate.
2214,MAGNESIUM SULFATE (IV),A12CC02,"Chất điện giải (Điều trị Hạ Magie máu, Sản giật).",Dung dịch tiêm.,Magnesium Sulfate,Block tim; Tổn thương cơ tim.,Thuốc ức chế TKTW (tăng tác dụng an thần); Thuốc chẹn Calci.
2215,CALCIUM GLUCONATE (IV),A12AA03,"Chất điện giải (Điều trị Hạ Calci máu, Quá liều Magie).",Dung dịch tiêm.,Calcium Gluconate,Tăng Calci máu; Rung thất.,Digoxin (tăng nguy cơ loạn nhịp); Thuốc chẹn Calci.
2216,CALCIUM CHLORIDE (IV),A12AA07,Chất điện giải (Cấp cứu - Tác dụng nhanh hơn Gluconate).,Dung dịch tiêm.,Calcium Chloride,Tương tự Calcium Gluconate.,Tương tự Calcium Gluconate.
2217,POTASSIUM CHLORIDE (IV),A12BA01,Chất điện giải (Điều trị Hạ Kali máu).,Dung dịch tiêm truyền.,Potassium Chloride,Tăng Kali máu; Suy thận nặng.,"Thuốc giữ Kali (Spironolactone, ACEI/ARB)."
2218,SODIUM BICARBONATE (IV),B05XA02,"Chất điện giải (Điều trị Toan chuyển hóa, Quá liều TCA).",Dung dịch tiêm truyền.,Sodium Bicarbonate,Toan hô hấp; Hạ Calci máu.,"Thuốc khác (ảnh hưởng pH nước tiểu, tăng/giảm thải trừ)."
2219,AMMONIUM CHLORIDE,B05XA04,Chất điện giải (Điều trị Kiềm chuyển hóa).,Dung dịch tiêm truyền.,Ammonium Chloride,"Suy gan, Suy thận.",Tương tự Sodium Bicarbonate.
2220,DEXTROSE (Tiêm),V06DC01,Dung dịch dinh dưỡng (Điều trị Hạ đường huyết).,Dung dịch tiêm 5% - 50%.,"D5W, D50",Tăng đường huyết; Hôn mê do đái tháo đường.,Insulin (ảnh hưởng cân bằng đường huyết).
2221,LIPID EMULSION (Tĩnh mạch),B05BA02,Dung dịch dinh dưỡng (Dinh dưỡng ngoài đường tiêu hóa - TPN).,Hỗn dịch tiêm truyền.,"Intralipid, Liposyn",Rối loạn chuyển hóa Lipid; Dị ứng trứng/đậu nành.,Không đáng kể.
2222,AMIN ACID SOLUTION (Tĩnh mạch),B05BA01,Dung dịch dinh dưỡng (Dinh dưỡng ngoài đường tiêu hóa - TPN).,Dung dịch tiêm truyền.,"Travasol, Aminosyn",Rối loạn chuyển hóa Acid Amin; Suy thận nặng.,Không đáng kể.
2223,SODIUM CHLORIDE (Dung dịch ưu trương),B05XA03,Dung dịch điện giải (Điều trị Hạ Natri máu nặng).,Dung dịch tiêm truyền 3%.,Hypertonic Saline,Quá tải dịch; Tăng Natri máu.,Corticosteroid (giữ Natri).
2224,LACTATED RINGERS (Ringer Lactate),B05BB01,Dung dịch điện giải (Dịch thay thế - Bù dịch).,Dung dịch tiêm truyền.,Lactated Ringer's,Toan lactic; Suy thận.,Không đáng kể.
2225,SERUM ALBUMIN (25%),B05AA01,"Chất thay thế thể tích (Điều trị Sốc, Giảm Albumin máu).",Dung dịch tiêm truyền.,"Albuminar, Albumex",Thiếu máu nặng; Suy tim sung huyết.,ACEI (nguy cơ hạ huyết áp).
2226,DEXTRAN 40/70,B05AA05,"Chất thay thế thể tích (Điều trị Sốc, Dự phòng Huyết khối).",Dung dịch tiêm truyền.,Dextran,Suy tim nặng; Suy thận nặng; Rối loạn đông máu nặng.,Thuốc chống đông.
2227,HYDROXYETHYL STARCH (HES),B05AA07,Chất thay thế thể tích (Đã ngưng sử dụng rộng rãi).,Dung dịch tiêm truyền.,"Hextend, Voluven",Suy thận; Bệnh nhân hồi sức tích cực.,Không đáng kể.
2228,GELATIN,B05AA06,Chất thay thế thể tích (Ít dùng).,Dung dịch tiêm truyền.,Gelatin,Quá mẫn.,Không đáng kể.
2229,LEVOTHYROXINE (Uống),H03AA01,Hormone tuyến giáp (Lô 28).,Tương tự Levothyroxine (Lô 28).,Tương tự Levothyroxine (Lô 28).,Tương tự Levothyroxine (Lô 28).,Tương tự Levothyroxine (Lô 28).
2230,LIOTHYRONINE (T3),H03AA02,Hormone tuyến giáp (Lô 30).,Tương tự Liothyronine (Lô 30).,Tương tự Liothyronine (Lô 30).,Tương tự Liothyronine (Lô 30).,Tương tự Liothyronine (Lô 30).
2231,LIOYTHYRONINE/LEVOTHYROXINE (Phối hợp),H03AA03,Hormone tuyến giáp (Phối hợp).,Viên nén.,"Thyrolar, Armour Thyroid",Tương tự Levothyroxine.,Tương tự Levothyroxine.
2232,METHIMAZOLE,H03BB02,Thuốc chống tuyến giáp (Lô 30).,Tương tự Methimazole (Lô 30).,Tương tự Methimazole (Lô 30).,Tương tự Methimazole (Lô 30).,Tương tự Methimazole (Lô 30).
2233,PROPYLTHIOURACIL (PTU),H03BB02,Thuốc chống tuyến giáp (Lô 30).,Tương tự Propylthiouracil (Lô 30).,Tương tự Propylthiouracil (Lô 30).,Tương tự Propylthiouracil (Lô 30).,Tương tự Propylthiouracil (Lô 30).
2234,IODINE/POTASSIUM IODIDE (Lugol's),H03CA,Thuốc chống tuyến giáp (Lô 30).,Tương tự Iodine/Potassium Iodide (Lô 30).,Tương tự Iodine/Potassium Iodide (Lô 30).,Tương tự Iodine/Potassium Iodide (Lô 30).,Tương tự Iodine/Potassium Iodide (Lô 30).
2235,CORTICOTROPIN (ACTH),H01AA02,"Hormone tuyến yên (Chẩn đoán, Điều trị).",Thuốc tiêm bắp/dưới da.,"Acthar, Corticotropin",Quá mẫn; Nhiễm trùng cấp không được điều trị; Suy tuyến thượng thận.,Tương tự Corticosteroid.
