inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
AFLIBERCEPT,"Protein dung hợp (Ức chế VEGF - UT đại trực tràng, AMD).","['Zaltrap', 'Eylea']","['Thuốc tiêm truyền (UT)', 'Tiêm nội nhãn (Mắt)']",aflibercept,l01xc13,"protein dung hop (uc che vegf - ut dai truc trang, amd).","['thuoc tiem truyen (ut)', 'tiem noi nhan (mat)']","['zaltrap', 'eylea']","['truc', 'noi', 'nhan', 'truyen', 'eylea', 'uc', 'dung', 'aflibercept', 'dai', 'l01xc13', 'che', 'amd', 'zaltrap', 'protein', 'tiem', 'mat', 'trang', 'thuoc', 'ut', 'vegf', 'hop']",[],"{""injection""}",False,,[],Tương tự Ramucirumab.,"{""oncology""}"
PEMBROLIZUMAB,Kháng thể đơn dòng (Ức chế PD-1 - Miễn dịch).,"['Keytruda', 'Pembrolizumab']",['Thuốc tiêm truyền'],pembrolizumab,l01xc18,khang the don dong (uc che pd-1 - mien dich).,['thuoc tiem truyen'],"['keytruda', 'pembrolizumab']","['che', 'pd1', 'pembrolizumab', 'l01xc18', 'keytruda', 'truyen', 'thuoc', 'dich', 'the', 'dong', 'tiem', 'mien', 'uc', 'don', 'khang']",[],"{""injection""}",False,,[],Quá mẫn; Tiền sử tự miễn nghiêm trọng (cân nhắc).,"{""oncology""}"
NIVOLUMAB,Kháng thể đơn dòng (Ức chế PD-1 - Miễn dịch).,"['Opdivo', 'Nivolumab']",['Thuốc tiêm truyền'],nivolumab,l01xc17,khang the don dong (uc che pd-1 - mien dich).,['thuoc tiem truyen'],"['opdivo', 'nivolumab']","['che', 'pd1', 'opdivo', 'nivolumab', 'truyen', 'thuoc', 'dich', 'the', 'dong', 'tiem', 'mien', 'uc', 'l01xc17', 'don', 'khang']",[],"{""injection""}",False,,[],Tương tự Pembrolizumab.,"{""oncology""}"
ATEZOLIZUMAB,Kháng thể đơn dòng (Ức chế PD-L1 - Miễn dịch).,"['Tecentriq', 'Atezolizumab']",['Thuốc tiêm truyền'],atezolizumab,l01xc15,khang the don dong (uc che pd-l1 - mien dich).,['thuoc tiem truyen'],"['tecentriq', 'atezolizumab']","['che', 'atezolizumab', 'truyen', 'thuoc', 'dich', 'the', 'pdl1', 'dong', 'don', 'tiem', 'mien', 'uc', 'tecentriq', 'l01xc15', 'khang']",[],"{""injection""}",False,,[],Tương tự Pembrolizumab.,"{""oncology""}"
DURVALUMAB,Kháng thể đơn dòng (Ức chế PD-L1 - Miễn dịch).,"['Imfinzi', 'Durvalumab']",['Thuốc tiêm truyền'],durvalumab,l01xc23,khang the don dong (uc che pd-l1 - mien dich).,['thuoc tiem truyen'],"['imfinzi', 'durvalumab']","['che', 'durvalumab', 'imfinzi', 'truyen', 'thuoc', 'dich', 'the', 'pdl1', 'tiem', 'dong', 'l01xc23', 'mien', 'uc', 'don', 'khang']",[],"{""injection""}",False,,[],Tương tự Pembrolizumab.,"{""oncology""}"
IPILIMUMAB,Kháng thể đơn dòng (Ức chế CTLA-4 - Miễn dịch).,"['Yervoy', 'Ipilimumab']",['Thuốc tiêm truyền'],ipilimumab,l01xc11,khang the don dong (uc che ctla-4 - mien dich).,['thuoc tiem truyen'],"['yervoy', 'ipilimumab']","['che', 'yervoy', 'truyen', 'l01xc11', 'thuoc', 'dich', 'the', 'ipilimumab', 'tiem', 'dong', 'ctla4', 'mien', 'uc', 'don', 'khang']",[],"{""injection""}",False,,[],Tương tự Pembrolizumab.,"{""oncology""}"
DABRAFENIB,Thuốc ức chế Tyrosine Kinase (Điều trị UT có đột biến BRAF).,"['Tafinlar', 'Dabrafenib']","['Viên nang 50 mg', 'Viên nang 75 mg']",dabrafenib,l01xe15,thuoc uc che tyrosine kinase (dieu tri ut co dot bien braf).,"['vien nang 50mg', 'vien nang 75mg']","['tafinlar', 'dabrafenib']","['dot', '75mg', 'uc', 'vien', 'braf', 'kinase', 'tyrosine', 'tri', 'bien', '50mg', 'l01xe15', 'che', 'nang', 'dabrafenib', 'co', 'tafinlar', 'dieu', 'thuoc', 'ut']",[],"{""oral""}",False,,[],Tương tự Kinase Inhibitors; Giảm LVEF.,"{""oncology""}"
TRAMETINIB,Thuốc ức chế MEK (Điều trị UT có đột biến BRAF - Phối hợp).,"['Mekinist', 'Trametinib']","['Viên nén 0.5 mg', 'Viên nén 2 mg']",trametinib,l01xe16,thuoc uc che mek (dieu tri ut co dot bien braf - phoi hop).,"['vien nen 0.5mg', 'vien nen 2mg']","['mekinist', 'trametinib']","['dot', '05mg', 'uc', 'mek', 'vien', 'l01xe16', 'braf', 'tri', 'bien', 'mekinist', '2mg', 'che', 'co', 'nen', 'phoi', 'dieu', 'thuoc', 'trametinib', 'ut', 'hop']",[],"{""oral""}",False,,[],Tương tự Dabrafenib.,"{""oncology""}"
VEMURAFENIB,Thuốc ức chế Tyrosine Kinase (Điều trị UT có đột biến BRAF).,"['Zelboraf', 'Vemurafenib']",['Viên nén 240 mg'],vemurafenib,l01xe18,thuoc uc che tyrosine kinase (dieu tri ut co dot bien braf).,['vien nen 240mg'],"['zelboraf', 'vemurafenib']","['che', 'nen', 'l01xe18', 'dieu', 'braf', 'vien', 'dot', 'co', '240mg', 'thuoc', 'kinase', 'tyrosine', 'ut', 'zelboraf', 'vemurafenib', 'tri', 'uc', 'bien']",[],"{""oral""}",False,,[],Tương tự Dabrafenib; Kéo dài QT bẩm sinh.,"{""oncology""}"
ENDAFENIB,Thuốc ức chế Tyrosine Kinase (Điều trị UT có đột biến BRAF).,"['Braftovi', 'Encorafenib']","['Viên nang 50 mg', 'Viên nang 75 mg']",endafenib,l01xe37,thuoc uc che tyrosine kinase (dieu tri ut co dot bien braf).,"['vien nang 50mg', 'vien nang 75mg']","['braftovi', 'encorafenib']","['dot', '75mg', 'endafenib', 'uc', 'vien', 'braf', 'kinase', 'tyrosine', 'tri', 'bien', '50mg', 'che', 'nang', 'co', 'braftovi', 'dieu', 'thuoc', 'l01xe37', 'encorafenib', 'ut']",[],"{""oral""}",False,,[],Tương tự Dabrafenib.,"{""oncology""}"
BINIMETINIB,Thuốc ức chế MEK (Điều trị UT có đột biến BRAF - Phối hợp).,"['Mektovi', 'Binimetinib']",['Viên nén 15 mg'],binimetinib,l01xe32,thuoc uc che mek (dieu tri ut co dot bien braf - phoi hop).,['vien nen 15mg'],"['mektovi', 'binimetinib']","['dot', 'uc', 'mek', 'l01xe32', 'vien', 'braf', 'mektovi', 'tri', 'bien', 'che', 'co', 'nen', 'phoi', 'dieu', '15mg', 'thuoc', 'binimetinib', 'ut', 'hop']",[],"{""oral""}",False,,[],Tương tự Trametinib.,"{""oncology""}"
COBIMETINIB,Thuốc ức chế MEK.,"['Cotellic', 'Cobimetinib']",['Viên nén 20 mg'],cobimetinib,l01xe41,thuoc uc che mek.,['vien nen 20mg'],"['cotellic', 'cobimetinib']","['che', 'nen', 'vien', 'cotellic', 'cobimetinib', 'thuoc', 'l01xe41', 'uc', 'mek', '20mg']",[],"{""oral""}",False,,[],Tương tự Trametinib.,"{""oncology""}"
CRIZOTINIB,Thuốc ức chế ALK/ROS1 (Điều trị UT phổi).,"['Xalkori', 'Crizotinib']","['Viên nang 200 mg', 'Viên nang 250 mg']",crizotinib,l01xe16,thuoc uc che alk/ros1 (dieu tri ut phoi).,"['vien nang 200mg', 'vien nang 250mg']","['xalkori', 'crizotinib']","['che', 'vien', 'dieu', 'l01xe16', 'nang', '250mg', 'thuoc', 'xalkori', '200mg', 'alk/ros1', 'ut', 'crizotinib', 'uc', 'tri', 'phoi']",[],"{""oral""}",False,,['hepatic_toxic'],Tương tự Kinase Inhibitors; Bệnh gan nặng.,"{""oncology""}"
CERITINIB,Thuốc ức chế ALK (Điều trị UT phổi).,"['Zykadia', 'Ceritinib']","['Viên nang 150 mg', 'Viên nang 450 mg']",ceritinib,l01xe16,thuoc uc che alk (dieu tri ut phoi).,"['vien nang 150mg', 'vien nang 450mg']","['zykadia', 'ceritinib']","['che', 'vien', 'dieu', 'l01xe16', 'ceritinib', 'alk', 'nang', '150mg', 'thuoc', 'ut', '450mg', 'tri', 'uc', 'phoi', 'zykadia']",[],"{""oral""}",False,,[],Tương tự Crizotinib.,"{""oncology""}"
ALECTINIB,Thuốc ức chế ALK (Điều trị UT phổi).,"['Alecensa', 'Alectinib']",['Viên nang 150 mg'],alectinib,l01xe17,thuoc uc che alk (dieu tri ut phoi).,['vien nang 150mg'],"['alecensa', 'alectinib']","['che', 'vien', 'l01xe17', 'alk', 'dieu', 'nang', '150mg', 'thuoc', 'ut', 'alectinib', 'tri', 'uc', 'phoi', 'alecensa']",[],"{""oral""}",False,,[],Tương tự Crizotinib.,"{""oncology""}"
BRIGATINIB,Thuốc ức chế ALK (Điều trị UT phổi).,"['Alunbrig', 'Brigatinib']","['Viên nén 30 mg', 'Viên nén 90 mg', 'Viên nén 180 mg']",brigatinib,l01xe22,thuoc uc che alk (dieu tri ut phoi).,"['vien nen 30mg', 'vien nen 90mg', 'vien nen 180mg']","['alunbrig', 'brigatinib']","['brigatinib', 'che', 'vien', 'dieu', 'alk', 'nen', '90mg', 'alunbrig', 'l01xe22', 'thuoc', 'ut', '180mg', 'tri', 'uc', 'phoi', '30mg']",[],"{""oral""}",False,,[],Tương tự Crizotinib.,"{""oncology""}"
LORLATINIB,Thuốc ức chế ALK/ROS1 (Thế hệ mới).,"['Lorbrena', 'Lorlatinib']","['Viên nén 25 mg', 'Viên nén 100 mg']",lorlatinib,l01xe23,thuoc uc che alk/ros1 (the he moi).,"['vien nen 25mg', 'vien nen 100mg']","['lorbrena', 'lorlatinib']","['che', 'nen', 'vien', 'he', '100mg', 'l01xe23', 'thuoc', 'moi', 'the', 'alk/ros1', 'lorlatinib', 'lorbrena', '25mg', 'uc']",[],"{""oral""}",False,,[],Tương tự Crizotinib.,"{""oncology""}"
ENTRECTINIB,Thuốc ức chế ROS1/NTRK (Điều trị UT có đột biến NTRK).,"['Rozlytrek', 'Entrectinib']","['Viên nang 100 mg', 'Viên nang 200 mg']",entrectinib,l01xe24,thuoc uc che ros1/ntrk (dieu tri ut co dot bien ntrk).,"['vien nang 100mg', 'vien nang 200mg']","['rozlytrek', 'entrectinib']","['che', '100mg', 'vien', 'dieu', 'ros1/ntrk', 'dot', 'entrectinib', 'co', 'nang', 'rozlytrek', 'thuoc', '200mg', 'ut', 'l01xe24', 'tri', 'uc', 'bien', 'ntrk']",[],"{""oral""}",False,,[],Tương tự Crizotinib.,"{""oncology""}"
LAROTRECTINIB,Thuốc ức chế NTRK (Điều trị UT có đột biến NTRK).,"['Vitrakvi', 'Larotrectinib']","['Viên nang 25 mg', 'Viên nang 100 mg', 'Dung dịch uống']",larotrectinib,l01xe25,thuoc uc che ntrk (dieu tri ut co dot bien ntrk).,"['vien nang 25mg', 'vien nang 100mg', 'dung dich uong']","['vitrakvi', 'larotrectinib']","['dot', 'uc', '100mg', 'vien', 'dung', 'larotrectinib', 'tri', 'bien', 'che', 'nang', 'vitrakvi', 'co', 'dich', 'uong', '25mg', 'ntrk', 'l01xe25', 'dieu', 'thuoc', 'ut']",[],"{""oral""}",False,,[],Tương tự Crizotinib.,"{""oncology""}"
RIBOZICLIB,Thuốc ức chế CDK 4/6 (Điều trị UT vú HR+/HER2-).,"['Kisqali', 'Ribociclib']",['Viên nén 200 mg'],riboziclib,l01xe42,thuoc uc che cdk 4/6 (dieu tri ut vu hr+/her2-).,['vien nen 200mg'],"['kisqali', 'ribociclib']","['che', 'nen', 'vien', 'dieu', 'l01xe42', 'thuoc', 'vu', '200mg', 'ut', 'kisqali', 'hr/her2', 'riboziclib', 'tri', 'uc', 'cdk', '4/6', 'ribociclib']",[],"{""oral""}",False,,['hepatic_toxic'],Kéo dài QT bẩm sinh; Bệnh gan nặng.,"{""oncology""}"
PALBOCICLIB,Thuốc ức chế CDK 4/6 (Điều trị UT vú HR+/HER2-).,"['Ibrance', 'Palbociclib']","['Viên nang 75 mg', 'Viên nang 100 mg', 'Viên nang 125 mg']",palbociclib,l01xe44,thuoc uc che cdk 4/6 (dieu tri ut vu hr+/her2-).,"['vien nang 75mg', 'vien nang 100mg', 'vien nang 125mg']","['ibrance', 'palbociclib']","['che', '100mg', 'vien', 'dieu', '125mg', 'ibrance', 'nang', '75mg', 'thuoc', 'vu', 'palbociclib', 'ut', 'hr/her2', 'l01xe44', 'tri', 'uc', 'cdk', '4/6']",[],"{""oral""}",False,,[],Tương tự Ribociclib.,"{""oncology""}"
ABEMACICLIB,Thuốc ức chế CDK 4/6 (Điều trị UT vú HR+/HER2-).,"['Verzenio', 'Abemaciclib']",['Viên nén 50 mg - 200 mg'],abemaciclib,l01xe46,thuoc uc che cdk 4/6 (dieu tri ut vu hr+/her2-).,['vien nen 50mg - 200mg'],"['verzenio', 'abemaciclib']","['che', 'nen', 'vien', 'dieu', 'verzenio', 'l01xe46', 'thuoc', 'vu', '50mg', 'abemaciclib', 'ut', '200mg', 'hr/her2', 'tri', 'uc', 'cdk', '4/6']",[],"{""oral""}",False,,[],Tương tự Ribociclib.,"{""oncology""}"
OLAPARIB,"Thuốc ức chế PARP (Điều trị UT buồng trứng, vú, tuyến tiền liệt có đột biến BRCA).","['Lynparza', 'Olaparib']","['Viên nén 100 mg', 'Viên nén 150 mg']",olaparib,l01xk01,"thuoc uc che parp (dieu tri ut buong trung, vu, tuyen tien liet co dot bien brca).","['vien nen 100mg', 'vien nen 150mg']","['lynparza', 'olaparib']","['dot', 'vu', 'liet', 'uc', 'lynparza', '100mg', 'vien', 'buong', 'parp', 'tri', 'bien', 'l01xk01', 'che', '150mg', 'co', 'olaparib', 'trung', 'brca', 'nen', 'dieu', 'thuoc', 'tuyen', 'ut', 'tien']",[],"{""oral""}",False,,['renal_adjust'],Suy thận nặng; Suy tủy.,"{""oncology""}"
NIRAPARIB,Thuốc ức chế PARP.,"['Zejula', 'Niraparib']",['Viên nang 100 mg'],niraparib,l01xk02,thuoc uc che parp.,['vien nang 100mg'],"['zejula', 'niraparib']","['che', '100mg', 'vien', 'l01xk02', 'nang', 'thuoc', 'parp', 'uc', 'niraparib', 'zejula']",[],"{""oral""}",False,,[],Tương tự Olaparib.,"{""oncology""}"
RUCAPARIB,Thuốc ức chế PARP.,"['Rubraca', 'Rucaparib']","['Viên nén 200 mg', 'Viên nén 300 mg']",rucaparib,l01xk03,thuoc uc che parp.,"['vien nen 200mg', 'vien nen 300mg']","['rubraca', 'rucaparib']","['che', 'nen', 'vien', 'thuoc', 'parp', '200mg', '300mg', 'rubraca', 'uc', 'rucaparib', 'l01xk03']",[],"{""oral""}",False,,[],Tương tự Olaparib.,"{""oncology""}"
TALAZOPARIB,Thuốc ức chế PARP.,"['Talzenna', 'Talazoparib']","['Viên nang 0.25 mg', 'Viên nang 1 mg']",talazoparib,l01xk04,thuoc uc che parp.,"['vien nang 0.25mg', 'vien nang 1mg']","['talzenna', 'talazoparib']","['che', '025mg', 'vien', 'nang', 'l01xk04', 'talazoparib', 'thuoc', 'parp', 'talzenna', '1mg', 'uc']",[],"{""oral""}",False,,[],Tương tự Olaparib.,"{""oncology""}"
VENETOCLAX,Thuốc ức chế BCL-2 (Điều trị Ung thư bạch cầu lympho mạn - CLL).,"['Venclexta', 'Venetoclax']",['Viên nén 10 mg - 400 mg'],venetoclax,l01xx52,thuoc uc che bcl-2 (dieu tri ung thu bach cau lympho man - cll).,['vien nen 10mg - 400mg'],"['venclexta', 'venetoclax']","['venclexta', 'uc', 'ung', 'vien', 'l01xx52', 'man', 'thu', 'tri', 'che', '10mg', 'lympho', 'cll', 'venetoclax', '400mg', 'nen', 'dieu', 'bach', 'cau', 'thuoc', 'bcl2']",[],"{""oral""}",False,,[],Dùng đồng thời với thuốc ức chế CYP3A4 mạnh.,"{""oncology""}"
GLASDEGIB,Thuốc ức chế Hedgehog (Điều trị Ung thư bạch cầu tủy cấp - AML).,"['Daurismo', 'Glasdegib']","['Viên nén 50 mg', 'Viên nén 100 mg']",glasdegib,l01xx58,thuoc uc che hedgehog (dieu tri ung thu bach cau tuy cap - aml).,"['vien nen 50mg', 'vien nen 100mg']","['daurismo', 'glasdegib']","['cap', 'uc', 'l01xx58', 'ung', 'glasdegib', 'vien', '100mg', 'thu', 'tri', '50mg', 'che', 'daurismo', 'nen', 'tuy', 'hedgehog', 'dieu', 'aml', 'bach', 'cau', 'thuoc']",[],"{""oral""}",False,,[],Kéo dài QT bẩm sinh.,"{""oncology""}"
VANDETANIB,Thuốc ức chế Tyrosine Kinase (Điều trị UT tuyến giáp).,"['Caprelsa', 'Vandetanib']","['Viên nang 10 mg', 'Viên nang 40 mg']",vandetanib,l01xe15,thuoc uc che tyrosine kinase (dieu tri ut tuyen giap).,"['vien nang 10mg', 'vien nang 40mg']","['caprelsa', 'vandetanib']","['che', '10mg', 'vien', 'dieu', 'nang', 'caprelsa', 'giap', 'vandetanib', 'thuoc', 'kinase', 'tyrosine', 'ut', 'tuyen', 'tri', 'uc', '40mg', 'l01xe15']",[],"{""oral""}",False,,[],Kéo dài QT bẩm sinh.,"{""oncology""}"
TRAMETINIB/DABRAFENIB (Phối hợp),Phối hợp ức chế BRAF/MEK.,['Tương tự Dabrafenib/Trametinib'],['Viên nén (Liều phối hợp)'],trametinib/dabrafenib (phoi hop),l01xe15,phoi hop uc che braf/mek.,['vien nen (lieu phoi hop)'],['tuong tu dabrafenib/trametinib'],"['che', 'nen', 'vien', 'tu', 'braf/mek', 'lieu', 'trametinib/dabrafenib', 'dabrafenib/trametinib', 'tuong', 'uc', 'phoi', 'hop', 'l01xe15']",[],"{""oral""}",False,,[],Tương tự Dabrafenib/Trametinib.,"{""oncology""}"
AZACITIDINE,Thuốc chống chuyển hóa (Điều trị Hội chứng loạn sản tủy - MDS).,"['Vidaza', 'Azacitidine']",['Bột pha tiêm'],azacitidine,l01bc07,thuoc chong chuyen hoa (dieu tri hoi chung loan san tuy - mds).,['bot pha tiem'],"['vidaza', 'azacitidine']","['dieu', 'loan', 'san', 'l01bc07', 'azacitidine', 'bot', 'pha', 'thuoc', 'hoa', 'chong', 'vidaza', 'chuyen', 'tiem', 'tri', 'tuy', 'chung', 'hoi', 'mds']",[],"{""injection""}",False,,['hepatic_toxic'],Khối u gan ác tính.,"{""oncology""}"
DECITABINE,"Thuốc chống chuyển hóa (Điều trị MDS, AML).","['Dacogen', 'Decitabine']",['Bột pha tiêm'],decitabine,l01bc08,"thuoc chong chuyen hoa (dieu tri mds, aml).",['bot pha tiem'],"['dacogen', 'decitabine']","['dieu', 'aml', 'bot', 'decitabine', 'pha', 'thuoc', 'hoa', 'l01bc08', 'chong', 'chuyen', 'tiem', 'tri', 'dacogen', 'mds']",[],"{""injection""}",False,,[],Tương tự Azacitidine.,"{""oncology""}"
DECITABINE/CEDAZURIDINE (Uống),"Phối hợp chống chuyển hóa (Điều trị MDS, CMML).","['Inqovi', 'Decitabine/Cedazuridine']",['Viên nén (Liều phối hợp)'],decitabine/cedazuridine (uong),l01bc08,"phoi hop chong chuyen hoa (dieu tri mds, cmml).",['vien nen (lieu phoi hop)'],"['inqovi', 'decitabine/cedazuridine']","['vien', 'dieu', 'inqovi', 'hoa', 'lieu', 'l01bc08', 'uong', 'chong', 'chuyen', 'cmml', 'tri', 'nen', 'phoi', 'hop', 'decitabine/cedazuridine', 'mds']",[],"{""oral""}",False,,[],Tương tự Decitabine.,"{""oncology""}"
ASPIRAGINASE (Bình thường),Enzyme (Điều trị Ung thư bạch cầu lympho cấp - ALL).,"['Elspar', 'Asparaginase']",['Bột pha tiêm'],aspiraginase (binh thuong),l01xx02,enzyme (dieu tri ung thu bach cau lympho cap - all).,['bot pha tiem'],"['elspar', 'asparaginase']","['binh', 'l01xx02', 'asparaginase', 'cap', 'elspar', 'ung', 'thu', 'tri', 'enzyme', 'lympho', 'tiem', 'all', 'dieu', 'thuong', 'bot', 'bach', 'cau', 'pha', 'aspiraginase']",[],"{""injection""}",False,,[],Viêm tụy cấp; Tiền sử huyết khối/chảy máu nghiêm trọng.,"{""oncology""}"
PEGASPARGASE,Enzyme (Điều trị ALL - Tác dụng kéo dài).,"['Oncaspar', 'Pegaspargase']",['Thuốc tiêm bắp/tĩnh mạch'],pegaspargase,l01xx02,enzyme (dieu tri all - tac dung keo dai).,['thuoc tiem bap/tinh mach'],"['oncaspar', 'pegaspargase']","['pegaspargase', 'dieu', 'oncaspar', 'keo', 'dung', 'dai', 'thuoc', 'bap/tinh', 'l01xx02', 'tiem', 'all', 'tri', 'enzyme', 'mach', 'tac']",[],"{""injection""}",False,,[],Tương tự Asparaginase.,"{""oncology""}"
BLINATUMOMAB,Kháng thể đơn dòng (Liệu pháp miễn dịch tế bào T lưỡng đặc hiệu - Điều trị ALL).,"['Blincyto', 'Blinatumomab']",['Bột pha tiêm'],blinatumomab,l01xc22,khang the don dong (lieu phap mien dich te bao t luong dac hieu - dieu tri all).,['bot pha tiem'],"['blincyto', 'blinatumomab']","['luong', 'blinatumomab', 'don', 'blincyto', 'l01xc22', 'dong', 'mien', 'tri', 't', 'te', 'khang', 'hieu', 'dich', 'all', 'tiem', 'dieu', 'bot', 'pha', 'lieu', 'the', 'bao', 'phap', 'dac']",[],"{""injection""}",False,,['renal_adjust'],Nhiễm trùng đang hoạt động nặng; Rối loạn thần kinh.,"{""oncology""}"
INOTUZUMAB OZOGAMICIN,Kháng thể đơn dòng liên hợp thuốc (Điều trị ALL).,"['Besponsa', 'Inotuzumab Ozogamicin']",['Bột pha tiêm'],inotuzumab ozogamicin,l01xc26,khang the don dong lien hop thuoc (dieu tri all).,['bot pha tiem'],"['besponsa', 'inotuzumab ozogamicin']","['ozogamicin', 'dieu', 'bot', 'besponsa', 'pha', 'hop', 'thuoc', 'the', 'tiem', 'dong', 'all', 'tri', 'lien', 'l01xc26', 'don', 'khang', 'inotuzumab']",[],"{""injection""}",False,,['hepatic_toxic'],Tương tự Blinatumomab; Bệnh tắc nghẽn tĩnh mạch gan (VOD).,"{""oncology""}"
BREXUCABTAGENE AUTOLEUCEL,Liệu pháp Tế bào T thụ thể kháng nguyên khảm (CAR-T - Điều trị ALL).,"['Tecartus', 'Brexucabtagene Autoleucel']",['Hỗn dịch tiêm truyền (Cá thể hóa)'],brexucabtagene autoleucel,l01xx59,lieu phap te bao t thu the khang nguyen kham (car-t - dieu tri all).,['hon dich tiem truyen (ca the hoa)'],"['tecartus', 'brexucabtagene autoleucel']","['ca', 'truyen', 'hoa', 'kham', 'brexucabtagene', 'thu', 'hon', 'l01xx59', 'tri', 'autoleucel', 't', 'te', 'khang', 'tecartus', 'nguyen', 'dich', 'all', 'tiem', 'dieu', 'cart', 'lieu', 'bao', 'the', 'phap']",[],"{""oral"",""injection""}",True,,[],Hội chứng giải phóng Cytokine (CRS) nghiêm trọng.,"{""oncology""}"
AXICABTAGENE CILOLEUCEL,Liệu pháp CAR-T (Điều trị U lympho tế bào B lớn).,"['Yescarta', 'Axicabtagene Ciloleucel']",['Hỗn dịch tiêm truyền (Cá thể hóa)'],axicabtagene ciloleucel,l01xx60,lieu phap car-t (dieu tri u lympho te bao b lon).,['hon dich tiem truyen (ca the hoa)'],"['yescarta', 'axicabtagene ciloleucel']","['ca', 'axicabtagene', 'truyen', 'hoa', 'lon', 'b', 'ciloleucel', 'hon', 'yescarta', 'tri', 'te', 'lympho', 'dich', 'l01xx60', 'tiem', 'dieu', 'u', 'cart', 'lieu', 'bao', 'the', 'phap']",[],"{""oral"",""injection""}",True,,[],Tương tự Brexucabtagene Autoleucel.,"{""oncology""}"
TISAGENLECLEUCEL,"Liệu pháp CAR-T (Điều trị ALL, U lympho tế bào B).","['Kymriah', 'Tisagenlecleucel']",['Hỗn dịch tiêm truyền (Cá thể hóa)'],tisagenlecleucel,l01xx61,"lieu phap car-t (dieu tri all, u lympho te bao b).",['hon dich tiem truyen (ca the hoa)'],"['kymriah', 'tisagenlecleucel']","['ca', 'kymriah', 'truyen', 'hoa', 'b', 'hon', 'tri', 'te', 'lympho', 'dich', 'all', 'tiem', 'dieu', 'tisagenlecleucel', 'u', 'cart', 'lieu', 'bao', 'the', 'phap', 'l01xx61']",[],"{""oral"",""injection""}",True,,[],Tương tự Brexucabtagene Autoleucel.,"{""oncology""}"
PEMETREXED,"Thuốc chống chuyển hóa (Điều trị UT phổi, u trung biểu mô).","['Alimta', 'Pemetrexed']",['Bột pha tiêm'],pemetrexed,l01ba04,"thuoc chong chuyen hoa (dieu tri ut phoi, u trung bieu mo).",['bot pha tiem'],"['alimta', 'pemetrexed']","['dieu', 'bieu', 'pemetrexed', 'l01ba04', 'bot', 'pha', 'mo', 'u', 'thuoc', 'hoa', 'trung', 'chong', 'alimta', 'chuyen', 'tiem', 'tri', 'ut', 'phoi']",[],"{""injection""}",False,,[],Dùng đồng thời với NSAID (nguy cơ độc tính tủy).,"{""oncology""}"
THYMIDINE,Hỗ trợ (Chữa cháy độc tính 5-FU).,['Không có biệt dược phổ biến'],['Thuốc tiêm truyền'],thymidine,v03af03,ho tro (chua chay doc tinh 5-fu).,['thuoc tiem truyen'],['khong co biet duoc pho bien'],"['biet', 'doc', '5fu', 'ho', 'co', 'truyen', 'bien', 'tinh', 'thuoc', 'pho', 'v03af03', 'chay', 'tro', 'tiem', 'khong', 'chua', 'thymidine', 'duoc']",[],"{""injection""}",False,,[],Quá mẫn.,{}
